County,Lat,Long
Ireland,53.52268271,-7.597233534
Carlow,52.83854508,-6.921697205
Cavan,53.99115557,-7.361384903
Clare,52.89347632,-8.951385115
Cork,51.89407747,-8.460992171
Donegal,54.65958956,-8.104478668
Dublin,53.34350952,-6.253952126
Galway,53.27321635,-9.062481499
Kerry,52.24339386,-9.638140393
Kildare,53.16763741,-6.869690337
Kilkenny,52.65497704,-7.247555228
Laois,53.03283065,-7.338818136
Leitrim,54.00224462,-8.036000501
Limerick,52.66617249,-8.624265455
Longford,53.72639029,-7.794076049
Louth,53.87964926,-6.390679019
Mayo,53.95104287,-9.278423182
Meath,53.62403201,-6.684878694
Monaghan,54.2456426,-6.971558821
Offaly,53.24516829,-7.588595154
Roscommon,53.62933664,-8.187845192
Sligo,54.27358247,-8.472490816
Tipperary,52.66285501,-7.904577236
Waterford,52.25243919,-7.107022339
Westmeath,53.54414343,-7.348637618
Wexford,52.33503483,-6.470443603
Wicklow,53.02124165,-6.234117624
